customer_id,customer_name,gender,age,city,join_date
288,"Theresa Moore",F,59,Jenniferburgh,2024-06-30
289,"Taylor Freeman",M,21,"West Chrismouth",2022-07-04
290,"Stephen Lopez",F,35,Hernandezfort,2021-03-17
291,"Kimberly Nelson",F,59,Torresborough,2020-09-25
292,"Zachary Miller",F,44,Robertoberg,2021-10-25
293,"Andrew Payne",M,31,"South Erikamouth",2022-01-14
294,"Gary Young",M,18,Butlerport,2024-03-26
295,"Brittany Burch",M,54,"Port Andretown",2022-09-06
296,"Amanda Johnson",M,47,Nicholasside,2021-04-01
297,"Jessica Bolton",F,55,Abigailstad,2021-05-20
298,"Amanda Elliott",M,40,"West Hailey",2021-01-22
299,"Robert Ball",M,-59,"West James",2023-03-21
300,"Stephen Harris",M,42,Sawyertown,2023-03-29
